size,min,max,avg
128,0.005432,0.005974,0.005603
128,0.005450,0.006000,0.005608
128,0.005452,0.006209,0.005616
128,0.005453,0.005971,0.005579
128,0.005444,0.006329,0.005544
128,0.005437,0.005963,0.005540
128,0.005424,0.006145,0.005544
128,0.005435,0.005971,0.005550
128,0.005408,0.006330,0.005547
128,0.005378,0.006335,0.005541
256,0.044380,0.045793,0.044824
256,0.044327,0.045622,0.044728
256,0.044372,0.046999,0.044902
256,0.044367,0.045227,0.044730
256,0.044328,0.046759,0.044768
256,0.044319,0.051679,0.045244
256,0.044344,0.045557,0.044696
256,0.044317,0.045651,0.044773
256,0.044356,0.046051,0.044748
256,0.044323,0.045503,0.044807
512,0.365881,0.368488,0.367571
512,0.364817,0.367902,0.366451
512,0.363979,0.364843,0.364514
512,0.365008,0.369050,0.366769
512,0.363758,0.368949,0.365860
512,0.363382,0.366785,0.364616
512,0.364021,0.366737,0.365259
512,0.365784,0.368049,0.366899
512,0.369654,0.375272,0.372062
512,0.370191,0.371881,0.371253
1024,4.452356,4.518284,4.485320
1024,4.422056,4.452380,4.437218
1024,4.185108,4.317885,4.251497
1024,3.966673,4.451411,4.209042
1024,4.685408,4.708213,4.696810
1024,4.517997,5.275875,4.896936
1024,4.423157,4.812876,4.618016
1024,4.279336,4.428407,4.353872
1024,3.973553,4.177379,4.075466
1024,3.952290,4.001939,3.977114
2048,58.685765,58.685765,58.685765
2048,58.148624,58.148624,58.148624
2048,58.727317,58.727317,58.727317
2048,59.224884,59.224884,59.224884
2048,57.341982,57.341982,57.341982
2048,57.392663,57.392663,57.392663
2048,57.260270,57.260270,57.260270
2048,56.611501,56.611501,56.611501
2048,56.555489,56.555489,56.555489
2048,56.322596,56.322596,56.322596
