 Time(%)  Total Time (ns)  Num Calls    Average      Minimum     Maximum         Name     
 -------  ---------------  ---------  ------------  ---------  -----------  --------------
    50.3    2,256,333,327         64  35,255,208.2    260,551  100,078,916  sem_timedwait 
    46.8    2,101,641,941         33  63,686,119.4      4,723  100,138,659  poll          
     2.6      115,112,746      5,516      20,868.9      1,105    5,632,765  ioctl         
     0.1        5,282,193        210      25,153.3      6,080       66,521  fclose        
     0.1        3,905,271          2   1,952,635.5  1,713,743    2,191,528  sem_wait      
     0.0        1,816,879        110      16,517.1      2,700       35,402  mmap          
     0.0        1,085,682        216       5,026.3      2,203       28,601  fopen         
     0.0          540,724          4     135,181.0    121,898      148,400  pthread_create
     0.0          305,036         91       3,352.0      1,533        9,685  open64        
     0.0          130,951          4      32,737.8     19,779       67,285  fgets         
     0.0           56,080          6       9,346.7      1,597       13,847  munmap        
     0.0           46,906         12       3,908.8      1,768        6,135  write         
     0.0           39,750          5       7,950.0      3,203       15,048  open          
     0.0           33,459         14       2,389.9      1,168        4,863  read          
     0.0           14,913          4       3,728.3      3,289        4,232  mprotect      
     0.0           11,929          3       3,976.3      3,078        4,994  pipe2         
     0.0            9,277          1       9,277.0      9,277        9,277  fread         
     0.0            9,248          1       9,248.0      9,248        9,248  connect       
     0.0            8,818          2       4,409.0      2,256        6,562  socket        
     0.0            2,547          1       2,547.0      2,547        2,547  bind          
     0.0            1,389          1       1,389.0      1,389        1,389  listen        
     0.0            1,261          1       1,261.0      1,261        1,261  fcntl         
